declaring_class,mtd_name,mtd_sig
AbsListView,onGenericMotionEvent,boolean onGenericMotionEvent (MotionEvent event)
TokenWatcher,acquired,void acquired ()
PhoneNumberFormattingTextWatcher,afterTextChanged,void afterTextChanged (Editable s)
TextWatcher,afterTextChanged,void afterTextChanged (Editable s)
InputMethod,attachToken,void attachToken (IBinder token)
PhoneNumberFormattingTextWatcher,beforeTextChanged,"void beforeTextChanged (CharSequence s, int start, int count, int after)"
TextWatcher,beforeTextChanged,"void beforeTextChanged (CharSequence s, int start, int count, int after)"
NodeChangeListener,childAdded,void childAdded (NodeChangeEvent evt)
ViewParent,childDrawableStateChanged,void childDrawableStateChanged (View child)
ViewGroup,childHasTransientStateChanged,"void childHasTransientStateChanged (View child, boolean childHasTransientState)"
ViewParent,childHasTransientStateChanged,"void childHasTransientStateChanged (View child, boolean hasTransientState)"
NodeChangeListener,childRemoved,void childRemoved (NodeChangeEvent evt)
ViewGroup,clearChildFocus,void clearChildFocus (View child)
ViewParent,clearChildFocus,void clearChildFocus (View child)
View,clearFocus,void clearFocus ()
ViewGroup,clearFocus,void clearFocus ()
InputConnection,closeConnection,void closeConnection ()
Scroller,computeScrollOffset,boolean computeScrollOffset ()
ConnectionEventListener,connectionErrorOccurred,void connectionErrorOccurred (ConnectionEvent event)
MediaCodec,createInputSurface,Surface createInputSurface ()
NfcAdapter.CreateNdefMessageCallback,createNdefMessage,NdefMessage createNdefMessage (NfcEvent event)
SQLiteCursorDriver,cursorClosed,void cursorClosed ()
SQLiteCursorDriver,cursorDeactivated,void cursorDeactivated ()
SQLiteCursorDriver,cursorRequeried,void cursorRequeried (Cursor cursor)
ExpandableListView,dispatchDraw,void dispatchDraw (Canvas canvas)
ListView,dispatchDraw,void dispatchDraw (Canvas canvas)
TvView,dispatchDraw,void dispatchDraw (Canvas canvas)
ViewGroup,dispatchDraw,void dispatchDraw (Canvas canvas)
ViewStub,dispatchDraw,void dispatchDraw (Canvas canvas)
Dialog,dispatchGenericMotionEvent,boolean dispatchGenericMotionEvent (MotionEvent ev)
InputMethodSession,dispatchGenericMotionEvent,"void dispatchGenericMotionEvent (int seq, MotionEvent event, InputMethodSession.EventCallback callback)"
Dialog,dispatchKeyEvent,boolean dispatchKeyEvent (KeyEvent event)
InputMethodSession,dispatchKeyEvent,"void dispatchKeyEvent (int seq, KeyEvent event, InputMethodSession.EventCallback callback)"
Dialog,dispatchKeyShortcutEvent,boolean dispatchKeyShortcutEvent (KeyEvent event)
Dialog,dispatchTrackballEvent,boolean dispatchTrackballEvent (MotionEvent ev)
InputMethodSession,dispatchTrackballEvent,"void dispatchTrackballEvent (int seq, MotionEvent event, InputMethodSession.EventCallback callback)"
View,dispatchUnhandledMove,"boolean dispatchUnhandledMove (View focused, int direction)"
ViewGroup,dispatchUnhandledMove,"boolean dispatchUnhandledMove (View focused, int direction)"
ZoomButton,dispatchUnhandledMove,"boolean dispatchUnhandledMove (View focused, int direction)"
TabHost,dispatchWindowFocusChanged,void dispatchWindowFocusChanged (boolean hasFocus)
TvView,dispatchWindowFocusChanged,void dispatchWindowFocusChanged (boolean hasFocus)
View,dispatchWindowFocusChanged,void dispatchWindowFocusChanged (boolean hasFocus)
ViewGroup,dispatchWindowFocusChanged,void dispatchWindowFocusChanged (boolean hasFocus)
Choreographer.FrameCallback,doFrame,void doFrame (long frameTimeNanos)
FutureTask,done,void done ()
AbsListView,draw,void draw (Canvas canvas)
GestureOverlayView,draw,void draw (Canvas canvas)
HorizontalScrollView,draw,void draw (Canvas canvas)
ScrollView,draw,void draw (Canvas canvas)
SurfaceView,draw,void draw (Canvas canvas)
Switch,draw,void draw (Canvas c)
TvView,draw,void draw (Canvas canvas)
VideoView,draw,void draw (Canvas canvas)
View,draw,void draw (Canvas canvas)
ViewStub,draw,void draw (Canvas canvas)
AbsSeekBar,drawableHotspotChanged,"void drawableHotspotChanged (float x, float y)"
CheckedTextView,drawableHotspotChanged,"void drawableHotspotChanged (float x, float y)"
CompoundButton,drawableHotspotChanged,"void drawableHotspotChanged (float x, float y)"
ImageView,drawableHotspotChanged,"void drawableHotspotChanged (float x, float y)"
